trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,0,-35.46551724600919,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",25,9,-9.655354891730656,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",35,0,-46.95180062716314,"{0: 26, 1: 1, 2: 8, 3: 0, 4: 0}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,3,-87.0680479493842,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 2}",1
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",25,4,-26.43676528603158,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",30,16,-12.745502836193813,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",20,9,-11.388415525431745,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",25,0,-79.39835576115651,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,2,-39.2358356825985,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",25,0,-32.95250143639246,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,0,-148.74980083063497,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",20,0,17.840452056739167,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
100,False,"{'a': 0.01, 'e': 0.5403023058681397}",20,12,-7.254590479753881,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",20,0,-47.414725361747784,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",25,8,0.0903893012818322,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,8,-45.196624841435366,"{0: 8, 1: 0, 2: 2, 3: 2, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,0,7.471966691964239,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",20,0,-114.14762639735726,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",20,0,-45.66515400637009,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",20,0,-66.53259879668208,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,5,-7.849714357831292,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",35,0,-26.51994554563065,"{0: 28, 1: 1, 2: 6, 3: 0, 4: 0}",0
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",20,9,-33.58649493091484,"{0: 8, 1: 0, 2: 1, 3: 2, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",25,9,5.890031601636651,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",25,10,14.853043528561914,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,0,-59.15463130106103,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",20,13,13.382470150056054,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",20,0,-36.45955965920726,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,0,-84.63051911937991,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",25,7,-56.689277048735605,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",20,8,-5.445883657032619,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",25,19,10.9387521356265,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,6,19.373559537679476,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",25,10,-9.287769992290485,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",30,11,-43.02958225780271,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,1,-8.7645687241465,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",30,16,-5.405097659630296,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",20,0,-19.633382409245304,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",25,20,10.012924502268715,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",20,0,17.538737097117124,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
128,False,"{'a': 0.01, 'e': 0.2867152096319555}",20,13,-32.559946753689914,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",25,19,11.83802074768052,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",35,25,4.083347039449311,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",20,10,8.334472951351371,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",20,0,-44.24355650176013,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",30,20,21.34516948483015,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",25,13,-0.11450260387983091,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",20,0,21.587858100099623,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",30,18,18.84554201008036,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",20,13,0.5504921424171618,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",25,15,-31.513558605994838,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299936}",20,12,14.153433428764224,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",20,9,12.97617951416971,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",25,15,8.225317413088316,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",20,3,-23.664181510164426,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
143,False,"{'a': 0.01, 'e': 0.14033160584673673}",25,7,34.496401014316405,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",25,7,30.371129556713854,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.12050276936736662}",30,12,14.336802182006984,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006959}",20,12,13.899997007872589,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693173}",20,7,20.140030882748764,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430968}",20,4,14.476369475700004,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480063}",25,19,8.365979524082373,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",20,10,-21.91091466773556,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",25,0,34.36353556905405,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",20,3,30.547228409320194,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",20,15,10.02016773682761,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.03079145908246612}",30,19,14.029408188235953,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.020794827803092428}",25,13,22.428811673952023,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.010796117058267392}",25,17,14.09055485153499,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.0007963267107332633}",20,5,26.383915307313355,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,3,33.826341940910375,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,18,11.838047356446893,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,13,20.323646265048318,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,7,24.838324886819308,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,11,16.51217968618039,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,11,25.27270482131252,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,14,14.415808777091677,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,13,12.040547264655961,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,7,21.567223164922172,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,9,30.368059057395683,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
